HIP,right ascension_lon,declination_lat,apparent magnitude,Star Name
13835,44.5,-23.6,5.82,
13847,44.5,-40.3,2.88,Acamar
13874,44.5,-2.76,5.22,
13879,44.5,39.65,4.68,
13884,44.5,-64.06,4.98,
13905,44.75,35.16,4.94,
13914,44.75,21.33,4.63,
13942,44.75,-25.26,5.69,
13949,44.75,41.01,5.89,
13951,44.75,-2.45,5.56,
13954,44.75,8.9,4.71,
13965,44.75,47.21,5.47,
14036,45,10.86,5.93,
14043,45,52.35,5.24,
14060,45.25,-7.65,5.75,
14086,45.25,-28.08,5.88,
14109,45.25,26.45,5.91,
14110,45.25,-9.95,5.84,
14131,45.5,-71.9,5.51,
14135,45.5,4.08,2.54,Menkar
14143,45.5,4.35,5.62,
14146,45.5,-23.61,4.08,
14168,45.5,-7.68,5.32,
14187,45.5,-46.96,5.81,
14240,45.75,-59.73,5.12,
14293,46,-7.6,5.26,
14328,46,53.5,2.91,
14354,46.25,38.83,3.32,
14376,46.25,25.25,5.45,
14382,46.25,56.7,4.77,
14417,46.5,79.41,5.49,
14439,46.5,13.18,5.64,
14456,46.5,-6.08,5.23,
14502,46.75,64.05,5.89,
14521,46.75,-78.98,5.67,
14576,47,40.95,2.09,Algol
14632,47.25,49.6,4.05,
14668,47.25,44.85,3.79,
14677,47.25,29.06,5.74,
14764,47.5,11.86,5.97,
14817,47.75,39.6,4.61,
14838,47.75,19.71,4.35,
14844,47.75,81.46,5.92,
14862,47.75,74.38,4.85,
14879,48,-28.98,3.8,
14893,48,27.25,5.78,
14913,48,-44.41,5.92,
14915,48,6.65,5.55,
14930,48,-57.31,5.71,
14954,48,-1.18,5.07,
15004,48.25,48.16,5.93,
15110,48.5,21.03,4.87,
15154,48.75,30.55,5.61,
15192,48.75,57.13,5.79,
15197,48.75,-8.81,4.8,
15201,48.75,-77.38,5.51,
15219,49,50.93,5.04,
15241,49,32.18,5.98,
15305,49.25,-47.75,5.84,
15330,49.25,-62.56,5.53,
15334,49.25,39.28,5.97,
15338,49.25,44.01,5.49,
15357,49.5,-28.78,5.93,
15371,49.5,-62.5,5.24,
15382,49.5,-22.5,4.86,
15383,49.5,-0.91,5.62,
15404,49.5,50.21,5.16,
15411,49.5,-18.55,5.72,
15416,49.5,34.21,4.85,
15444,49.75,50.08,5.05,
15457,49.75,3.36,4.84,
15474,49.75,-21.75,3.7,
15479,49.75,-24.11,5.63,
15510,49.75,-43.06,4.26,82 G. Eri
15514,49.75,27.06,5.91,
15520,49.75,65.65,4.74,
15547,50,77.73,5.44,
15549,50,29.03,4.47,
15619,50.25,3.66,5.7,
15627,50.25,21.13,5.27,
15643,50.25,-23.63,5.5,
15648,50.25,43.31,4.96,
15669,50.25,49.06,5.94,
15696,50.5,27.6,5.55,
15737,50.5,20.73,5.1,
15770,50.75,49.2,5.32,
15861,51,24.71,5.5,
15863,51,49.85,1.79,Mirphak
15876,51,33.53,5.78,
15890,51,64.58,5.13,
15900,51,9.01,3.61,
15968,51.25,-69.33,5.96,
16029,51.5,-27.31,5.93,
16083,51.75,9.71,3.73,
16112,51.75,-35.66,5.71,
16142,52,-11.28,5.74,
16147,52,49.05,4.99,
16168,52,33.8,5.72,
16210,52,49.83,5.58,
16228,52.25,59.93,4.21,
16244,52.25,49.5,4.67,
16245,52.25,-62.93,4.71,
16263,52.25,-12.66,5.57,
16281,52.25,58.86,4.55,
16285,52.25,-42.63,5.76,
16290,52.25,-78.35,5.68,
16292,52.5,55.45,5.09,
16322,52.5,11.33,5.14,
16335,52.5,47.98,4.36,
16339,52.5,-47.36,5.98,
16340,52.5,48.1,5.82,
16341,52.5,-5.06,4.74,
16358,52.5,6.18,5.93,
16368,52.5,-66.48,5.81,
16369,52.5,12.93,4.14,
16470,53,48.01,5.47,
16489,53,84.9,5.62,
16499,53,46.05,5.3,
16509,53,-50.36,5.67,
16511,53,9.36,5.76,
16518,53,35.45,5.91,
16537,53,-9.45,3.72,
16591,53.25,39.88,5.79,
16599,53.25,54.96,5.98,
16611,53.25,-21.61,4.26,
16664,53.5,24.45,5.95,
16780,53.75,-11.18,5.56,
16803,54,-17.46,5.24,
16826,54,48.18,4.32,
16846,54,0.58,5.82,
16852,54,0.4,4.29,
16870,54.25,-40.26,4.57,
16989,54.5,-7.38,5.86,
17027,54.75,-5.61,5.97,
17103,54.75,3.05,5.55,
17167,55,-5.2,5.53,
17203,55.25,37.56,5.55,
17296,55.5,63.21,5.06,
17304,55.5,-31.93,4.99,
17309,55.5,19.7,5.68,
17313,55.5,33.95,4.97,
17342,55.5,59.96,5.74,
17351,55.5,-37.3,4.59,
17358,55.5,47.78,3.01,
17378,55.75,-9.75,3.52,
17395,55.75,-10.48,5.59,
17440,56,-64.8,3.84,
17448,56,32.28,3.84,
17457,56,-1.15,5.24,
17460,56,36.45,5.6,
17489,56,24.28,5.45,
17499,56,24.1,3.72,
17506,56,-0.28,5.56,
17527,56.25,24.83,5.66,
17529,56.25,42.56,3.77,
17531,56.25,24.46,4.3,
17534,56.25,-47.35,5.72,
17563,56.25,6.05,5.34,
17573,56.25,24.36,3.87,
17579,56.25,24.55,5.76,
17584,56.25,45.66,5.66,
17585,56.5,67.2,5.79,
17587,56.5,63.33,4.78,
17593,56.5,-12.1,4.43,
17595,56.5,6.8,5.91,
